job_id,job_name,nodes,mpi_tasks,tasks/node,threads,total_time,computation_time,communication_time,speedup,efficiency
21126691,weak_scale_1n_4t,1,4,4,28,10.4286,10.0964,0.33211,1.0,0.03571428571428571
21126692,weak_scale_2n_8t,2,8,4,28,10.5844,10.0148,0.569422,0.9852802237254827,0.03518857941876724
21126693,weak_scale_4n_16t,4,16,4,28,10.636,10.0399,0.595938,0.9805001880406168,0.035017863858593457
21126694,weak_scale_8n_32t,8,32,4,28,10.6163,10.0147,0.601509,0.9823196405527348,0.035082844305454816
21126695,weak_scale_16n_64t,16,64,4,28,10.7188,10.0234,0.695225,0.9729260738142329,0.034747359779079744
