job_id,job_name,nodes,mpi_tasks,tasks/node,threads,total_time,computation_time,communication_time,speedup,efficiency
21331706,strong_scale_1n_8t,1,8,8,14,21.9627,21.5152,0.447295,1.0,1.0
21331707,strong_scale_2n_16t,2,16,8,14,10.9766,10.5749,0.401471,2.000865477470255,1.0004327387351275
21331708,strong_scale_4n_32t,4,32,8,14,5.64235,5.30216,0.340058,3.8924738805639496,0.9731184701409874
21331709,strong_scale_8n_64t,8,64,8,14,2.89447,2.60874,0.285526,7.587814003945455,0.9484767504931819
21331710,strong_scale_16n_128t,16,128,8,14,1.50092,1.20062,0.30017,14.632825200543667,0.9145515750339792
