job_id,job_name,nodes,mpi_tasks,tasks/node,threads,total_time,computation_time,communication_time,speedup,efficiency
21329558,omp_scale_1t,1,1,1,1,172.16,172.16,0.000108537,1.0,1.0
21329559,omp_scale_2t,1,1,1,2,94.8174,94.8172,9.6606e-05,1.8157004937912238,0.9078502468956119
21329560,omp_scale_4t,1,1,1,4,63.5484,63.5481,9.2525e-05,2.70911620119468,0.67727905029867
21329561,omp_scale_8t,1,1,1,8,50.9571,50.9567,0.000116178,3.3785282129477543,0.4223160266184693
21329562,omp_scale_16t,1,1,1,16,40.3352,40.335,7.0544e-05,4.268232214046292,0.26676451337789325
21329563,omp_scale_32t,1,1,1,32,20.1156,20.1152,0.000108475,8.558531686850007,0.2674541152140627
21329564,omp_scale_56t,1,1,1,56,11.4263,11.4259,0.000172449,15.066994565169828,0.2690534743780327
21329565,omp_scale_84t,1,1,1,84,7.6127,7.61232,0.000100952,22.61484098939929,0.2692242974928487
21329566,omp_scale_112t,1,1,1,112,5.68966,5.6891,0.000133119,30.258398568631517,0.27016427293420997
