job_id,job_name,nodes,mpi_tasks,tasks/node,threads,total_time,computation_time,communication_time,speedup,efficiency
21329888,weak_scale_1n_8t,1,8,8,14,10.9274,10.6592,0.268015,1.0,1.0
21329889,weak_scale_2n_16t,2,16,8,14,10.8971,10.5214,0.375517,1.002780556294794,1.002780556294794
21329892,weak_scale_4n_32t,4,32,8,14,11.0263,10.4024,0.623669,0.9910305360819132,0.9910305360819132
21329893,weak_scale_8n_64t,8,64,8,14,11.0028,10.6343,0.3683,0.9931471988948267,0.9931471988948267
21329894,weak_scale_16n_128t,16,128,8,14,11.035,10.6299,0.404919,0.9902492070684187,0.9902492070684187
